"1161.erp Properties"
"General"
"Item","Value"
"Type","ERP/W Data"
"Subject number","4"
"Number of trials","150"
"Folder","C:\Users\Administrador\Desktop\GonoGo 15-21"
"File collection date","6/13/2008 17:02:17.45"
"Experiment type","Go - No go"
"Erp file version","4"
"Data acquisition type","Trial-by-trial"
"Data acquisition board","Natl. Instr. PCI-6071E (Dev. 1)"
"Collection start time","17:02:17.45"
"Collection end time","17:05:47.82"

"Channels"
"Channel","Type","Gain","Min. mV","Max. mV","Rate (Hz)","Act. Rate","Electrode","Label"
"1","Scalp","1.00","-100.00","100.00","200.00","200.3606","Fz","Fz"
"2","Scalp","1.00","-100.00","100.00","200.00","200.3606","Pz","Pz"
"3","Scalp","1.00","-100.00","100.00","200.00","200.3606","T3","T3"
"4","Scalp","1.00","-100.00","100.00","200.00","200.3606","T4","T4"
"5","Eye (V)","1.00","-1000.00","1000.00","200.00","200.3606","","vEOG"
"6","Scalp","1.00","-100.00","100.00","200.00","200.3606","T5","T5"
"7","Scalp","1.00","-100.00","100.00","200.00","200.3606","T6","T6"
"8","Scalp","1.00","-100.00","100.00","200.00","200.3606","C3","C3"
"9","Scalp","1.00","-100.00","100.00","200.00","200.3606","C4","C4"
"10","Scalp","1.00","-100.00","100.00","200.00","200.3606","M1","M1"
"11","Scalp","1.00","-100.00","100.00","200.00","200.3606","M2","M2"
"12","Scalp","1.00","-100.00","100.00","200.00","200.3606","F3","F3"
"13","Scalp","1.00","-100.00","100.00","200.00","200.3606","F4","F4"
"14","Scalp","1.00","-100.00","100.00","200.00","200.3606","F7","F7"
"15","Scalp","1.00","-100.00","100.00","200.00","200.3606","F8","F8"
"16","Scalp","1.00","-100.00","100.00","200.00","200.3606","O1","O1"
"17","Scalp","1.00","-100.00","100.00","200.00","200.3606","O2","O2"
"18","Scalp","1.00","-100.00","100.00","200.00","200.3606","FC1","FC1"
"19","Scalp","1.00","-100.00","100.00","200.00","200.3606","FC2","FC2"
"20","Scalp","1.00","-100.00","100.00","200.00","200.3606","FC5","FC5"
"21","Scalp","1.00","-100.00","100.00","200.00","200.3606","FC6","FC6"
"22","Scalp","1.00","-100.00","100.00","200.00","200.3606","CP1","CP1"
"23","Scalp","1.00","-100.00","100.00","200.00","200.3606","CP2","CP2"
"24","Scalp","1.00","-100.00","100.00","200.00","200.3606","CP5","CP5"
"25","Scalp","1.00","-100.00","100.00","200.00","200.3606","CP6","CP6"
"26","Scalp","1.00","-100.00","100.00","200.00","200.3606","PO3","PO3"
"27","Scalp","1.00","-100.00","100.00","200.00","200.3606","PO4","PO4"
"28","Scalp","1.00","-100.00","100.00","200.00","200.3606","PO7","PO7"
"29","Scalp","1.00","-100.00","100.00","200.00","200.3606","PO8","PO8"
"30","Scalp","1.00","-100.00","100.00","200.00","200.3606","P3","P3"
"31","Scalp","1.00","-100.00","100.00","200.00","200.3606","P4","P4"

"Trials"
"Trial","ID","Pre Set.","Pre Act.","Trial Set.","Trial Act.","Post Set.","Post Act."
"1","1","100","100","1001","1001","263","263"
"2","1","100","100","1001","1001","368","368"
"3","1","100","113","1001","988","204","204"
"4","1","100","100","1001","1001","282","282"
"5","1","100","100","1001","1001","381","381"
"6","1","100","100","1001","1001","251","251"
"7","1","100","100","1001","1001","248","248"
"8","1","100","100","1001","1001","227","227"
"9","1","100","100","1001","1001","313","313"
"10","1","100","100","1001","1001","203","203"
"11","1","100","100","1001","1001","335","335"
"12","1","100","100","1001","1001","226","226"
"13","1","100","100","1001","1001","397","397"
"14","1","100","100","1001","1001","285","285"
"15","1","100","100","1001","1001","232","232"
"16","1","100","100","1001","1001","217","217"
"17","1","100","100","1001","1001","327","327"
"18","1","100","100","1001","1001","290","290"
"19","1","100","100","1001","1001","400","400"
"20","1","100","100","1001","1001","370","370"
"21","1","100","100","1001","1001","372","372"
"22","1","100","100","1001","1001","246","246"
"23","1","100","100","1001","1001","322","322"
"24","1","100","100","1001","1001","285","285"
"25","1","100","100","1001","1001","341","341"
"26","1","100","100","1001","1001","361","361"
"27","1","100","100","1001","1001","389","389"
"28","1","100","100","1001","1001","349","349"
"29","1","100","100","1001","1001","333","333"
"30","1","100","100","1001","1001","364","364"
"31","1","100","100","1001","1001","216","216"
"32","1","100","100","1001","1001","377","377"
"33","1","100","100","1001","1001","345","345"
"34","1","100","100","1001","1001","356","356"
"35","1","100","100","1001","1001","218","218"
"36","1","100","100","1001","1001","232","232"
"37","1","100","100","1001","1001","388","388"
"38","1","100","100","1001","1001","361","361"
"39","1","100","100","1001","1001","233","233"
"40","1","100","100","1001","1001","304","304"
"41","3","100","100","1001","1001","260","260"
"42","2","100","100","1001","1001","244","244"
"43","2","100","100","1001","1001","312","312"
"44","2","100","100","1001","1001","202","202"
"45","2","100","100","1001","1001","256","256"
"46","2","100","100","1001","1001","288","288"
"47","3","100","100","1001","1001","390","390"
"48","2","100","100","1001","1001","341","341"
"49","3","100","100","1001","1001","253","253"
"50","2","100","100","1001","1001","262","262"
"51","3","100","100","1001","1001","275","275"
"52","2","100","100","1001","1001","254","254"
"53","2","100","100","1001","1001","343","343"
"54","2","100","100","1001","1001","383","383"
"55","3","100","100","1001","1001","215","215"
"56","2","100","100","1001","1001","324","324"
"57","3","100","100","1001","1001","320","320"
"58","2","100","100","1001","1001","213","213"
"59","2","100","100","1001","1001","235","235"
"60","2","100","100","1001","1001","282","282"
"61","3","100","100","1001","1001","339","339"
"62","2","100","100","1001","1001","226","226"
"63","2","100","100","1001","1001","268","268"
"64","2","100","100","1001","1001","209","209"
"65","3","100","100","1001","1001","350","350"
"66","2","100","100","1001","1001","309","309"
"67","3","100","100","1001","1001","252","252"
"68","2","100","100","1001","1001","320","320"
"69","2","100","100","1001","1001","367","367"
"70","3","100","100","1001","1001","297","297"
"71","2","100","100","1001","1001","208","208"
"72","3","100","100","1001","1001","320","320"
"73","2","100","100","1001","1001","320","320"
"74","2","100","100","1001","1001","272","272"
"75","2","100","100","1001","1001","272","272"
"76","3","100","100","1001","1001","204","204"
"77","2","100","100","1001","1001","358","358"
"78","2","100","100","1001","1001","282","282"
"79","2","100","100","1001","1001","309","309"
"80","2","100","100","1001","1001","343","343"
"81","3","100","100","1001","1001","363","363"
"82","3","100","100","1001","1001","310","310"
"83","2","100","100","1001","1001","327","327"
"84","2","100","100","1001","1001","339","339"
"85","2","100","100","1001","1001","365","365"
"86","2","100","100","1001","1001","353","353"
"87","2","100","100","1001","1001","341","341"
"88","2","100","100","1001","1001","396","396"
"89","3","100","100","1001","1001","291","291"
"90","2","100","100","1001","1001","355","355"
"91","2","100","100","1001","1001","358","358"
