"7391.erp Properties"
"General"
"Item","Value"
"Folder","C:\Users\Administrador\Desktop\GonoGo 15-21"
"Type","ERP/W Data"
"File collection date","8/16/2016 16:29:47.73"
"Erp file version","4"
"Subject number","4"
"Collection start time","16:29:47.73"
"Collection end time","16:38:13.29"
"Data acquisition board","Natl. Instr. PCI-6071E (Dev. 1)"
"Data acquisition type","Trial-by-trial"
"Number of trials","500"
"Experiment type","Legacy"

"Channels"
"Channel","Type","Gain","Min. mV","Max. mV","Rate (Hz)","Act. Rate","Electrode","Label"
"1","Scalp","1.00","-100.00","100.00","200.00","200.3606","Fz","Fz"
"2","Scalp","1.00","-100.00","100.00","200.00","200.3606","Pz","Pz"
"3","Scalp","1.00","-100.00","100.00","200.00","200.3606","T3","T3"
"4","Scalp","1.00","-100.00","100.00","200.00","200.3606","T4","T4"
"5","Eye (V)","1.00","-500.00","500.00","200.00","200.3606","","vEOG"
"6","Scalp","1.00","-100.00","100.00","200.00","200.3606","T5","T5"
"7","Scalp","1.00","-100.00","100.00","200.00","200.3606","T6","T6"
"8","Scalp","1.00","-100.00","100.00","200.00","200.3606","C3","C3"
"9","Scalp","1.00","-100.00","100.00","200.00","200.3606","C4","C4"
"10","Scalp","1.00","-100.00","100.00","200.00","200.3606","M1","M1"
"11","Scalp","1.00","-100.00","100.00","200.00","200.3606","M2","M2"
"12","Scalp","1.00","-100.00","100.00","200.00","200.3606","F3","F3"
"13","Scalp","1.00","-100.00","100.00","200.00","200.3606","F4","F4"
"14","Scalp","1.00","-100.00","100.00","200.00","200.3606","F7","F7"
"15","Scalp","1.00","-100.00","100.00","200.00","200.3606","F8","F8"
"16","Scalp","1.00","-100.00","100.00","200.00","200.3606","O1","O1"
"17","Scalp","1.00","-100.00","100.00","200.00","200.3606","O2","O2"
"18","Scalp","1.00","-100.00","100.00","200.00","200.3606","FC1","FC1"
"19","Scalp","1.00","-100.00","100.00","200.00","200.3606","FC2","FC2"
"20","Scalp","1.00","-100.00","100.00","200.00","200.3606","FC5","FC5"
"21","Scalp","1.00","-100.00","100.00","200.00","200.3606","FC6","FC6"
"22","Scalp","1.00","-100.00","100.00","200.00","200.3606","CP1","CP1"
"23","Scalp","1.00","-100.00","100.00","200.00","200.3606","CP2","CP2"
"24","Scalp","1.00","-100.00","100.00","200.00","200.3606","CP5","CP5"
"25","Scalp","1.00","-100.00","100.00","200.00","200.3606","CP6","CP6"
"26","Scalp","1.00","-100.00","100.00","200.00","200.3606","PO3","PO3"
"27","Scalp","1.00","-100.00","100.00","200.00","200.3606","PO4","PO4"
"28","Scalp","1.00","-100.00","100.00","200.00","200.3606","PO7","PO7"
"29","Scalp","1.00","-100.00","100.00","200.00","200.3606","PO8","PO8"
"30","Scalp","1.00","-100.00","100.00","200.00","200.3606","P3","P3"
"31","Scalp","1.00","-100.00","100.00","200.00","200.3606","P4","P4"

"Trials"
"Trial","ID","Pre Set.","Pre Act.","Trial Set.","Trial Act.","Post Set.","Post Act."
"1","1","100","100","801","801","100","100"
"2","1","100","100","801","801","100","100"
"3","1","100","100","801","801","100","100"
"4","1","100","100","801","801","100","100"
"5","1","100","100","801","801","100","100"
"6","1","100","100","801","801","100","100"
"7","1","100","100","801","801","100","100"
"8","1","100","100","801","801","100","100"
"9","1","100","100","801","801","100","100"
"10","1","100","100","801","801","100","100"
"11","1","100","100","801","801","100","100"
"12","1","100","100","801","801","100","100"
"13","1","100","100","801","801","100","100"
"14","1","100","100","801","801","100","100"
"15","1","100","100","801","801","100","100"
"16","1","100","100","801","801","100","100"
"17","1","100","100","801","801","100","100"
"18","1","100","100","801","801","100","100"
"19","1","100","100","801","801","100","100"
"20","1","100","100","801","801","100","100"
"21","1","100","100","801","801","100","100"
"22","1","100","100","801","801","100","100"
"23","1","100","100","801","801","100","100"
"24","1","100","100","801","801","100","100"
"25","1","100","100","801","801","100","100"
"26","1","100","100","801","801","100","100"
"27","1","100","100","801","801","100","100"
"28","1","100","100","801","801","100","100"
"29","1","100","100","801","801","100","100"
"30","1","100","100","801","801","100","100"
"31","1","100","100","801","801","100","100"
"32","1","100","100","801","801","100","100"
"33","1","100","100","801","801","100","100"
"34","1","100","100","801","801","100","100"
"35","1","100","100","801","801","100","100"
"36","1","100","100","801","801","100","100"
"37","1","100","100","801","801","100","100"
"38","1","100","100","801","801","100","100"
"39","1","100","100","801","801","100","100"
"40","1","100","100","801","801","100","100"
"41","1","100","100","801","801","100","100"
"42","1","100","100","801","801","100","100"
"43","1","100","100","801","801","100","100"
"44","1","100","100","801","801","100","100"
"45","1","100","100","801","801","100","100"
"46","1","100","100","801","801","100","100"
"47","1","100","100","801","801","100","100"
"48","1","100","100","801","801","100","100"
"49","1","100","100","801","801","100","100"
"50","1","100","100","801","801","100","100"
"51","2","100","100","801","801","100","100"
"52","3","100","100","801","801","100","100"
"53","3","100","100","801","801","100","100"
"54","2","100","100","801","801","100","100"
"55","3","100","100","801","801","100","100"
"56","3","100","100","801","801","100","100"
"57","2","100","100","801","801","100","100"
"58","3","100","100","801","801","200","200"
"59","2","100","100","801","801","100","100"
"60","3","100","100","801","801","100","100"
"61","2","100","100","801","801","100","100"
"62","3","100","100","801","801","100","100"
"63","2","100","100","801","801","100","100"
"64","2","100","100","801","801","100","100"
"65","2","100","100","801","801","100","100"
"66","2","100","100","801","801","100","100"
"67","2","100","100","801","801","100","100"
"68","2","100","100","801","801","200","200"
"69","3","100","100","801","801","100","100"
"70","3","100","100","801","801","100","100"
"71","2","100","100","801","801","100","100"
"72","3","100","100","801","801","100","100"
"73","3","100","100","801","801","100","100"
"74","2","100","100","801","801","100","100"
"75","3","100","100","801","801","100","100"
"76","3","100","100","801","801","200","200"
"77","3","100","100","801","801","100","100"
"78","3","100","100","801","801","100","100"
"79","2","100","100","801","801","100","100"
"80","2","100","100","801","801","100","100"
"81","2","100","100","801","801","100","100"
"82","3","100","100","801","801","100","100"
"83","2","100","100","801","801","100","100"
